work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,salary_in_inr,employee_residence,remote_ratio,company_location,company_size
2021,EN,FT,Data Science Consultant,54000,EUR,64369,4911354.7,DE,50,DE,L
2020,SE,FT,Data Scientist,60000,EUR,68428,5221056.4,GR,100,US,L
2021,EX,FT,Head of Data Science,85000,USD,85000,6485500,RU,0,RU,M
2021,EX,FT,Head of Data,230000,USD,230000,17549000,RU,50,RU,L
2021,EN,FT,Machine Learning Engineer,125000,USD,125000,9537500,US,100,US,S
2021,SE,FT,Data Analytics Manager,120000,USD,120000,9156000,US,100,US,M
2020,MI,FT,Research Scientist,450000,USD,450000,34335000,US,0,US,M
2020,MI,FT,Data Analyst,41000,EUR,46759,3567711.7,FR,50,FR,L
2020,MI,FT,Data Engineer,65000,EUR,74130,5656119,AT,50,AT,L
2021,SE,FT,Data Science Engineer,159500,CAD,127543,9731530.9,CA,50,CA,L
2021,SE,FT,Manager Data Science,144000,USD,144000,10987200,US,100,US,L
2021,EN,FT,Data Scientist,13400,USD,13400,1022420,UA,100,UA,L
2021,MI,FT,Data Scientist,95000,CAD,75966,5796205.8,CA,100,CA,L
2021,MI,FT,Data Scientist,150000,USD,150000,11445000,US,100,US,M
2020,MI,FT,Data Science Consultant,103000,USD,103000,7858900,US,100,US,L
2021,SE,FT,Data Engineering Manager,153000,USD,153000,11673900,US,100,US,L
2021,MI,FT,Data Engineer,90000,USD,90000,6867000,US,100,US,L
2021,EN,FT,Data Analyst,90000,USD,90000,6867000,US,100,US,S
2021,EN,FT,Data Analyst,60000,USD,60000,4578000,US,100,US,S
2021,MI,FT,Data Scientist,50000,USD,50000,3815000,NG,100,NG,L
2021,EN,PT,AI Scientist,12000,USD,12000,915600,PK,100,US,M
2021,MI,PT,3D Computer Vision Researcher,400000,INR,5423,413774.9,IN,50,IN,M
2021,MI,CT,ML Engineer,270000,USD,270000,20601000,US,100,US,L
2021,MI,FT,Applied Data Scientist,68000,CAD,54376,4148888.8,GB,50,CA,L
2021,MI,FT,Machine Learning Engineer,40000,EUR,47681,3638060.3,ES,100,ES,S
2021,EX,FT,Director of Data Science,130000,EUR,154963,11823676.9,IT,100,PL,L
2021,MI,FT,Data Engineer,110000,PLN,28801,2197516.3,PL,100,PL,L
2021,MI,FT,Data Analytics Engineer,110000,USD,110000,8393000,US,100,US,L
2021,EN,FT,Research Scientist,60000,GBP,83000,6332900,GB,50,GB,L
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,19075000,US,50,US,L
2021,EN,FT,Data Analyst,50000,EUR,59601,4547556.3,FR,50,FR,M
2021,SE,FT,Data Analyst,80000,USD,80000,6104000,BG,100,US,S
2020,EN,FT,Data Analyst,10000,USD,10000,763000,NG,100,NG,S
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,10529400,US,100,US,S
2021,MI,FT,Data Engineer,140000,USD,140000,10682000,US,100,US,L
2021,SE,FT,Data Analytics Engineer,67000,EUR,79866,6093775.8,DE,100,DE,L
2021,SE,FT,Lead Data Analyst,170000,USD,170000,12971000,US,100,US,L
2021,EN,FT,Data Analyst,80000,USD,80000,6104000,US,100,US,M
2020,MI,FT,Data Scientist,45760,USD,45760,3491488,PH,100,US,S
2021,MI,FT,BI Data Analyst,100000,USD,100000,7630000,US,100,US,M
2021,SE,FT,Data Scientist,45000,EUR,53641,4092808.3,FR,50,FR,L
2021,EX,FT,Head of Data,235000,USD,235000,17930500,US,100,US,L
2021,EX,FT,BI Data Analyst,150000,USD,150000,11445000,IN,100,US,L
2020,EX,FT,Data Engineering Manager,70000,EUR,79833,6091257.9,ES,50,ES,L
2021,EN,FT,Machine Learning Scientist,225000,USD,225000,17167500,US,100,US,L
2021,EN,FT,Data Science Consultant,65000,EUR,77481,5911800.3,DE,100,DE,S
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,3828734,PT,0,PT,M
2021,SE,FT,Marketing Data Analyst,75000,EUR,89402,6821372.6,GR,100,DK,L
2021,SE,FT,Lead Data Engineer,75000,GBP,103750,7916125,GB,100,GB,S
2021,SE,FT,Director of Data Engineering,82500,GBP,114125,8707737.5,GB,100,GB,M
2021,SE,FT,Machine Learning Engineer,80000,EUR,95362,7276120.6,DE,50,DE,L
2021,EN,FT,Data Engineer,2250000,INR,30509,2327836.7,IN,100,IN,L
2021,SE,FT,Data Engineer,150000,USD,150000,11445000,US,100,US,M
2021,SE,FT,Data Engineer,115000,USD,115000,8774500,US,100,US,S
2021,MI,FT,Research Scientist,235000,CAD,187917,14338067.1,CA,100,CA,L
2021,MI,FT,Data Analyst,37456,GBP,51814,3953408.2,GB,50,GB,L
2020,MI,FT,Data Engineer,106000,USD,106000,8087800,US,100,US,L
2020,MI,FT,Data Engineer,88000,GBP,112872,8612133.6,GB,50,GB,L
2021,MI,FT,BI Data Analyst,11000000,HUF,36732,2802651.6,HU,50,US,L
2021,SE,FT,Data Engineer,150000,USD,150000,11445000,US,100,US,L
2020,EN,PT,ML Engineer,14000,EUR,15966,1218205.8,DE,100,DE,S
2021,MI,FT,Computer Vision Software Engineer,81000,EUR,96554,7367070.2,DE,100,US,S
2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,5341000,US,100,US,M
2021,MI,FT,Financial Data Analyst,450000,USD,450000,34335000,US,100,US,L
2020,MI,FT,Data Scientist,60000,GBP,76958,5871895.4,GB,100,GB,S
2021,MI,FT,Cloud Data Engineer,120000,SGD,89514,6829918.2,SG,50,SG,L
2021,EN,FT,Data Scientist,2200000,INR,29831,2276105.3,IN,50,IN,L
2021,SE,FT,Lead Data Engineer,276000,USD,276000,21058800,US,0,US,L
2020,SE,FT,Data Engineer,188000,USD,188000,14344400,US,100,US,L
2021,SE,FT,Cloud Data Engineer,160000,USD,160000,12208000,BR,100,US,S
2020,MI,FT,Data Scientist,105000,USD,105000,8011500,US,100,US,L
2021,MI,FT,Data Engineer,200000,USD,200000,15260000,US,100,US,L
2021,SE,FT,Data Engineering Manager,174000,USD,174000,13276200,US,100,US,L
2021,MI,FT,Data Analyst,93000,USD,93000,7095900,US,100,US,L
2021,EN,FT,Data Scientist,2100000,INR,28475,2172642.5,IN,100,IN,M
2021,SE,FT,Research Scientist,51400,EUR,61270,4674901,PT,50,PT,L
2021,EN,FT,Data Scientist,90000,USD,90000,6867000,US,100,US,S
2020,MI,FT,Data Engineer,61500,EUR,70139,5351605.7,FR,50,FR,L
2020,EN,FT,Data Analyst,450000,INR,6072,463293.6,IN,0,IN,S
2020,SE,FT,Data Engineer,720000,MXN,33511,2556889.3,MX,0,MX,S
2021,SE,FT,Principal Data Analyst,170000,USD,170000,12971000,US,100,US,M
2021,SE,FT,Data Engineer,70000,GBP,96833,7388357.9,GB,50,GB,L
2021,MI,FT,Data Engineer,108000,TRY,13105,999911.5,TR,0,TR,M
2021,EN,FT,Data Scientist,31000,EUR,36952,2819437.6,FR,50,FR,L
2021,MI,FT,Data Engineer,52500,GBP,72625,5541287.5,GB,50,GB,L
2020,EN,FT,Data Analyst,91000,USD,91000,6943300,US,100,US,L
2021,SE,FT,Big Data Architect,125000,CAD,99956,7626642.8,CA,50,CA,M
2021,SE,FT,Data Scientist,165000,USD,165000,12589500,US,100,US,L
2021,MI,FT,Data Analyst,80000,USD,80000,6104000,US,100,US,L
2021,SE,FT,Data Scientist,130000,CAD,103954,7931690.2,CA,100,CA,L
2021,EN,FT,Data Engineer,1600000,INR,21695,1655328.5,IN,50,IN,M
2020,EN,FT,Research Scientist,42000,USD,42000,3204600,NL,50,NL,L
